---------------------------------------------------
                  Tie Point Pixel Residuals        
===================================================
PointId    Av.      Dev.        Nb.Obs.     State  
231         815.29   407.63     ( 8/ 8)      Used -
232          58.56    38.79     ( 8/ 8)      Used -
233         751.59   994.80     ( 8/ 8)      Used -
234         498.93   525.81     ( 8/ 8)      Used -
235          30.51    26.42     ( 8/ 8)      Used -
236        1097.71   533.89     ( 8/ 8)      Used -
237          57.98    33.78     ( 8/ 8)      Used -
238         694.50  1071.09     ( 8/ 8)      Used -
239         706.63   811.13     ( 8/ 8)      Used -
240        1750.19   590.51     ( 8/ 8)      Used -
241          86.47    47.97     ( 8/ 8)      Used -
242          53.02    32.35     ( 8/ 8)      Used -
243         100.32    32.84     ( 8/ 8)      Used -
244        1177.17   797.28     ( 8/ 8)      Used -
245         890.12  1055.26     ( 8/ 8)      Used -
246         918.75  1249.51     ( 8/ 8)      Used -
247          71.58    37.65     ( 8/ 8)      Used -
248          73.06    42.73     ( 8/ 8)      Used -
249         919.48   584.07     ( 8/ 8)      Used -
250         618.05   434.53     ( 8/ 8)      Used -
251         101.78    33.99     ( 8/ 8)      Used -
252          92.04    51.09     ( 8/ 8)      Used -
253         964.92   707.04     ( 8/ 8)      Used -
254         406.67   849.33     ( 8/ 8)      Used -
255          53.78    33.80     ( 8/ 8)      Used -
256          94.56    52.41     ( 8/ 8)      Used -
257        1634.84   513.39     ( 8/ 8)      Used -
258        1183.87  1423.39     ( 8/ 8)      Used -
259          64.18    35.28     ( 8/ 8)      Used -
260        1208.16   637.24     ( 8/ 8)      Used -
261         673.45   544.67     ( 8/ 8)      Used -
262          62.49    36.84     ( 8/ 8)      Used -
263          60.53    33.36     ( 8/ 8)      Used -
264          83.41    40.28     ( 8/ 8)      Used -
265        1236.08  1436.98     ( 8/ 8)      Used -
266         110.47    44.12     ( 8/ 8)      Used -
267         757.15  1205.07     ( 8/ 8)      Used -
268         694.02   932.81     ( 8/ 8)      Used -
269        1417.43   719.33     ( 8/ 8)      Used -
270          56.94    36.82     ( 8/ 8)      Used -
271        1480.45   893.48     ( 8/ 8)      Used -
272         899.87  1046.09     ( 8/ 8)      Used -
273        1013.07  1632.80     ( 8/ 8)      Used -
274         247.40   397.14     ( 8/ 8)      Used -
275          51.19    32.11     ( 8/ 8)      Used -
276          67.53    39.48     ( 8/ 8)      Used -
277         916.63   464.83     ( 8/ 8)      Used -
278          96.44    30.66     ( 8/ 8)      Used -
279         108.79    36.17     ( 8/ 8)      Used -
280        1145.32   896.91     ( 8/ 8)      Used -
281         943.31   980.02     ( 8/ 8)      Used -
282          96.62    61.38     ( 8/ 8)      Used -
283          90.88    49.03     ( 8/ 8)      Used -
284        1033.07  1687.65     ( 8/ 8)      Used -
285        1006.11   488.47     ( 8/ 8)      Used -
286          48.49    25.15     ( 8/ 8)      Used -
287          96.88    31.43     ( 8/ 8)      Used -
288         341.98   613.57     ( 8/ 8)      Used -
289          99.02    44.30     ( 7/ 7)      Used -
290         501.15   301.79     ( 7/ 7)      Used -
291          46.94    18.73     ( 7/ 7)      Used -
292         301.10   564.09     ( 7/ 7)      Used -
293          85.82    43.40     ( 7/ 7)      Used -
294         486.86  1038.85     ( 7/ 7)      Used -
295          43.62    26.52     ( 7/ 7)      Used -
296          26.99    31.84     ( 7/ 7)      Used -
297          71.00    46.55     ( 7/ 7)      Used -
298          63.18    36.64     ( 7/ 7)      Used -
299          91.54    47.34     ( 7/ 7)      Used -
300         532.04   741.52     ( 7/ 7)      Used -
301          93.49    40.39     ( 7/ 7)      Used -
302          66.06    47.61     ( 7/ 7)      Used -
303          69.72    46.66     ( 7/ 7)      Used -
304          98.07    50.55     ( 7/ 7)      Used -
305         971.78  1191.14     ( 7/ 7)      Used -
306         393.94   253.95     ( 7/ 7)      Used -
307          41.61    17.91     ( 7/ 7)      Used -
308          90.74    63.80     ( 7/ 7)      Used -
309          96.21    32.07     ( 7/ 7)      Used -
310          98.66    58.74     ( 7/ 7)      Used -
311          82.48    50.05     ( 7/ 7)      Used -
312          54.06    33.76     ( 7/ 7)      Used -
313          91.63    47.18     ( 7/ 7)      Used -
314          87.23    34.18     ( 7/ 7)      Used -
315         101.70    40.01     ( 7/ 7)      Used -
316         101.64    65.61     ( 7/ 7)      Used -
317          77.95    47.10     ( 7/ 7)      Used -
318          76.28    42.85     ( 7/ 7)      Used -
319          81.14    49.37     ( 7/ 7)      Used -
320          70.56    44.99     ( 7/ 7)      Used -
321         100.23    55.94     ( 7/ 7)      Used -
322         712.52   612.72     ( 7/ 7)      Used -
323          45.99    17.66     ( 7/ 7)      Used -
324          38.03    20.64     ( 7/ 7)      Used -
325          32.96    20.17     ( 7/ 7)      Used -
326          45.56    18.45     ( 7/ 7)      Used -
327          46.29    33.61     ( 7/ 7)      Used -
328        1309.44   736.76     ( 7/ 7)      Used -
329          69.41    49.18     ( 7/ 7)      Used -
330         244.98   482.75     ( 7/ 7)      Used -
331         593.71   534.84     ( 7/ 7)      Used -
332         158.96   258.94     ( 7/ 7)      Used -
333         269.73   462.31     ( 7/ 7)      Used -
334          98.88    44.30     ( 7/ 7)      Used -
335          17.93    13.27     ( 7/ 7)      Used -
