-----------------------------------------------------
                   Tie Point Pixel Residuals         
=====================================================
PointId    Av.     Dev.       Nb.Obs.         State  
191          0.76    0.43     ( 8/ 8)          Used  
192          0.86    0.77     ( 8/ 8)          Used  
193          0.31    0.16     ( 8/ 8)          Used  
194          0.37    0.20     ( 8/ 8)          Used  
195          3.19    3.70     ( 6/ 8)          Used -
196          0.60    0.31     ( 7/ 8)          Used  
197          1.77    1.06     ( 8/ 8)          Used -
198          0.82    0.50     ( 8/ 8)          Used  
199          0.31    0.15     ( 8/ 8)          Used  
200          1.80    1.38     ( 8/ 8)          Used -
201          6.17   12.06     ( 7/ 8)          Used -
202          0.74    0.56     ( 8/ 8)          Used  
203          0.66    0.31     ( 8/ 8)          Used  
204          0.90    0.52     ( 8/ 8)          Used  
205          0.40    0.36     ( 8/ 8)          Used  
206          0.47    0.24     ( 8/ 8)          Used  
207         14.11   11.81     ( 8/ 8)          Used -
208          0.39    0.20     ( 8/ 8)          Used  
209          1.13    0.77     ( 8/ 8)          Used -
210          2.26    0.38     ( 6/ 8)          Used -
211          0.49    0.28     ( 8/ 8)          Used  
212          0.38    0.14     ( 8/ 8)          Used  
213          0.69    0.43     ( 8/ 8)          Used  
214          3.45    1.74     ( 8/ 8)          Used -
215          0.43    0.20     ( 8/ 8)          Used  
216          0.38    0.17     ( 8/ 8)          Used  
217          0.35    0.19     ( 8/ 8)          Used  
218          0.42    0.16     ( 8/ 8)          Used  
219          0.34    0.26     ( 8/ 8)          Used  
220          0.30    0.12     ( 8/ 8)          Used  
221          0.45    0.26     ( 8/ 8)          Used  
222          2.10    1.72     ( 5/ 8)          Used -
223          2.22    3.81     ( 8/ 8)          Used -
224          1.51    2.72     ( 8/ 8)          Used -
225          0.96    1.21     ( 8/ 8)          Used  
226          0.64    0.27     ( 5/ 8)          Used  
227          0.54    0.31     ( 8/ 8)          Used  
228        118.94   85.35     ( 3/ 8)          Used -
229          0.32    0.23     ( 5/ 8)          Used  
230          0.37    0.26     ( 8/ 8)          Used  
231          0.36    0.28     ( 7/ 8)          Used  
232          0.33    0.22     ( 8/ 8)          Used  
233          0.66    0.75     ( 6/ 8)          Used  
234          0.69    0.54     ( 6/ 8)          Used  
235          0.43    0.23     ( 8/ 8)          Used  
236          0.59    0.42     ( 8/ 8)          Used  
237          0.52    0.28     ( 8/ 8)          Used  
238          0.54    0.43     ( 6/ 8)          Used  
239          0.58    0.69     ( 6/ 8)          Used  
240          0.54    0.42     ( 5/ 8)          Used  
241          3.74    6.47     ( 8/ 8)          Used -
242          0.54    0.24     ( 8/ 8)          Used  
243          0.45    0.30     ( 8/ 8)          Used  
244          0.31    0.09     ( 4/ 8)          Used  
245          0.91    0.47     ( 5/ 8)          Used  
246         57.91  113.03     ( 6/ 8)          Used -
247          2.37    1.59     ( 8/ 8)          Used -
248          0.49    0.26     ( 8/ 8)          Used  
249          0.57    0.24     ( 5/ 8)          Used  
250          1.18    0.73     ( 5/ 8)          Used -
251          0.24    0.13     ( 8/ 8)          Used  
252          7.95   11.41     ( 8/ 8)          Used -
253          4.86    3.28     ( 4/ 8)          Used -
254          7.82    9.35     ( 7/ 8)          Used -
255          0.48    0.22     ( 8/ 8)          Used  
256          0.62    0.28     ( 8/ 8)          Used  
257          0.56    0.25     ( 5/ 8)          Used  
258          9.86   12.32     ( 4/ 8)          Used -
259          2.10    1.28     ( 8/ 8)          Used -
260          1.07    0.56     ( 4/ 8)          Used -
261         12.93    6.34     ( 4/ 8)          Used -
262          0.37    0.17     ( 8/ 8)          Used  
263          0.70    0.53     ( 8/ 8)          Used  
264          0.61    0.35     ( 8/ 8)          Used  
265          1.14    0.52     ( 8/ 8)          Used -
266          0.32    0.19     ( 8/ 8)          Used  
267          0.39    0.23     ( 8/ 8)          Used  
268          7.70    7.50     ( 4/ 8)          Used -
269          0.94    0.68     ( 8/ 8)          Used  
270          0.34    0.20     ( 8/ 8)          Used  
271          0.82    0.23     ( 8/ 8)          Used  
272          0.92    0.70     ( 5/ 8)          Used  
273          1.08    1.01     ( 6/ 8)          Used -
274          0.57    0.33     ( 7/ 8)          Used  
275          0.72    0.55     ( 8/ 8)          Used  
276          0.61    0.39     ( 8/ 8)          Used  
277          1.28    0.99     ( 4/ 8)          Used -
278          0.41    0.22     ( 8/ 8)          Used  
279          0.46    0.29     ( 8/ 8)          Used  
280          0.85    0.70     ( 6/ 8)          Used  
281          0.75    0.69     ( 4/ 8)          Used  
282          0.66    0.64     ( 8/ 8)          Used  
283          0.95    0.45     ( 8/ 8)          Used  
284          0.63    0.48     ( 6/ 8)          Used  
285          0.46    0.18     ( 5/ 8)          Used  
286          0.48    0.27     ( 8/ 8)          Used  
287          0.35    0.16     ( 8/ 8)          Used  
288          6.47   12.81     ( 7/ 8)          Used -
289          0.25    0.18     ( 7/ 7)          Used  
290         69.78   98.94     ( 6/ 7)          Used -
291          0.48    0.33     ( 7/ 7)          Used  
292          1.54    1.17     ( 6/ 7)          Used -
293          0.53    0.38     ( 7/ 7)          Used  
294          1.21    1.11     ( 6/ 7)          Used -
295          0.70    0.80     ( 7/ 7)          Used  
296          0.94    0.95     ( 7/ 7)          Used  
297          0.94    0.69     ( 7/ 7)          Used  
298          0.72    0.56     ( 7/ 7)          Used  
299          0.34    0.13     ( 7/ 7)          Used  
300          0.60    0.37     ( 5/ 7)          Used  
301          0.47    0.23     ( 7/ 7)          Used  
302          0.65    0.29     ( 7/ 7)          Used  
303          0.57    0.20     ( 7/ 7)          Used  
304          0.96    0.37     ( 7/ 7)          Used  
305          1.27    1.32     ( 7/ 7)          Used -
306          0.47    0.33     ( 7/ 7)          Used  
307          0.75    0.62     ( 7/ 7)          Used  
308          0.43    0.25     ( 7/ 7)          Used  
309          0.58    0.41     ( 7/ 7)          Used  
310          1.00    0.60     ( 7/ 7)          Used  
311          0.76    0.69     ( 7/ 7)          Used  
312          0.68    0.52     ( 7/ 7)          Used  
313          1.93    0.64     ( 7/ 7)          Used -
314          0.56    0.27     ( 7/ 7)          Used  
315          0.47    0.18     ( 7/ 7)          Used  
316         11.62    8.49     ( 7/ 7)          Used -
317          0.82    0.48     ( 7/ 7)          Used  
318          0.60    0.45     ( 7/ 7)          Used  
319          0.70    0.34     ( 7/ 7)          Used  
320          1.32    1.67     ( 7/ 7)          Used -
321          1.16    0.67     ( 7/ 7)          Used -
322          1.65    1.51     ( 4/ 7)          Used -
323          1.46    1.20     ( 7/ 7)          Used -
324          0.59    0.68     ( 7/ 7)          Used  
325          0.79    0.54     ( 7/ 7)          Used  
326          0.62    0.44     ( 7/ 7)          Used  
327          0.50    0.41     ( 7/ 7)          Used  
328          0.25    0.11     ( 4/ 7)          Used  
329          0.88    0.46     ( 7/ 7)          Used  
330          0.34    0.20     ( 7/ 7)          Used  
331          1.02    0.59     ( 7/ 7)          Used -
332          0.55    0.33     ( 7/ 7)          Used  
333          1.04    0.68     ( 7/ 7)          Used -
334          2.11    1.57     ( 7/ 7)          Used -
335          0.57    0.28     ( 7/ 7)          Used  
336          0.64    0.30     ( 7/ 7)          Used  
337          0.63    0.37     ( 7/ 7)          Used  
338          0.36    0.22     ( 7/ 7)          Used  
339          0.38    0.34     ( 7/ 7)          Used  
340          0.43    0.23     ( 7/ 7)          Used  
341          0.56    0.25     ( 7/ 7)          Used  
342          0.87    0.43     ( 7/ 7)          Used  
343          2.52    3.41     ( 7/ 7)          Used -
344          0.41    0.15     ( 7/ 7)          Used  
345          0.51    0.25     ( 7/ 7)          Used  
346          8.37    9.34     ( 7/ 7)          Used -
